justiceName,WHRehnquist,AScalia,CThomas,AMKennedy,SDOConnor,JPStevens,DHSouter,RBGinsburg,SGBreyer
WHRehnquist,100.00,72.78,73.66,75.63,70.80,16.36,38.97,37.21,41.60
AScalia,72.78,100.00,85.95,64.22,59.39,9.33,31.50,27.55,29.31
CThomas,73.66,85.95,100.00,64.22,58.95,9.77,30.19,25.36,26.23
AMKennedy,75.63,64.22,64.22,100.00,69.70,31.50,49.73,46.65,49.73
SDOConnor,70.80,59.39,58.95,69.70,100.00,31.50,53.68,47.53,57.63
JPStevens,16.36,9.33,9.77,31.50,31.50,100.00,65.53,67.73,61.58
DHSouter,38.97,31.50,30.19,49.73,53.68,65.53,100.00,80.24,73.66
RBGinsburg,37.21,27.55,25.36,46.65,47.53,67.73,80.24,100.00,75.41
SGBreyer,41.60,29.31,26.23,49.73,57.63,61.58,73.66,75.41,100.00
